nohup: ignoring input
Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/15 16:34:29 detectron2]: Rank of current process: 0. World size: 2
[11/15 16:34:29 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/15 16:34:29 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split1/faster_rcnn_R_101_FPN_ETF_distill1_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre1_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "checkpoints/voc/prior/ETFRes_pre1_10shot_lr20_adj7.0_rfs1.0_t1/model_final.pth"
  
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.001  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 0.01
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "checkpoints/voc/distill/contrastive/"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000



[11/15 16:34:29 detectron2]: Full config saved to /root/FSOD/checkpoints/voc/distill/ETFRes_distill1_10shot_lr10_/config.yaml
preset seed 0
[11/15 16:34:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/15 16:34:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Logging names for 5 novel classes:  ['bird', 'bus', 'cow', 'motorbike', 'sofa']
[11/15 16:34:32 d2.data.build]: Removed 1920 images with no usable annotations. 14681 images left.
[11/15 16:34:32 d2.data.build]: Distribution of instances among all 20 categories:
|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
| aeroplane  | 1285         |   bicycle   | 1208         |    boat     | 1397         |
|   bottle   | 2116         |     car     | 4008         |     cat     | 1616         |
|   chair    | 4338         | diningtable | 1057         |     dog     | 2079         |
|   horse    | 1156         |   person    | 15576        | pottedplant | 1724         |
|   sheep    | 1347         |    train    | 984          |  tvmonitor  | 1193         |
|    bird    | 10           |     bus     | 10           |     cow     | 10           |
| motorbike  | 10           |    sofa     | 10           |             |              |
|   total    | 41134        |             |              |             |              |
[11/15 16:34:32 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/15 16:34:32 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/15 16:34:33 d2.data.common]: Serializing 14681 elements to byte tensors and concatenating them all ...
[11/15 16:34:33 d2.data.common]: Serialized dataset takes 6.67 MiB
WARNING [11/15 16:34:33 d2.solver.build]: SOLVER.STEPS contains values larger than SOLVER.MAX_ITER. These values will be ignored.
[11/15 16:34:33 fvcore.common.checkpoint]: [Checkpointer] Loading from checkpoints/voc/prior/ETFRes_pre1_10shot_lr20_adj7.0_rfs1.0_t1/model_clean_student.pth ...
Logging modification for finetuning
preset seed 0
froze proposal generator parameters
Logging names for 5 novel classes:  ['bird', 'bus', 'cow', 'motorbike', 'sofa']
WARNING [11/15 16:34:33 fvcore.common.checkpoint]: Some model parameters or buffers are not found in the checkpoint:
roi_heads.student_box_head.fc1.{bias, weight}
roi_heads.student_box_head.fc2.{bias, weight}
roi_heads.student_box_predictor.bbox_pred.{bias, weight}
roi_heads.student_box_predictor.cls_score.weight
roi_heads.student_box_predictor.mapping.weight
[11/15 16:34:33 d2.engine.train_loop]: Starting training from iteration 1
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/15 16:35:08 d2.utils.events]:  eta: 2:59:53  iter: 19  total_loss: 2.846  loss_cls: 1.059  loss_box_reg: 0.3567  loss_rpn_cls: 0.01109  loss_rpn_loc: 0.01955  contrastive_loss: 1.547  time: 0.7408  data_time: 0.3810  lr: 0.0009091  max_mem: 12879M
[11/15 17:31:52 fsdet.evaluation.evaluator]: Inference done 1950/2476. 0.0472 s / img. ETA=0:00:24
[11/15 17:31:54 fsdet.evaluation.evaluator]: Inference done 2000/2476. 0.0472 s / img. ETA=0:00:22
[11/15 17:31:56 fsdet.evaluation.evaluator]: Inference done 2050/2476. 0.0472 s / img. ETA=0:00:20
[11/15 17:31:59 fsdet.evaluation.evaluator]: Inference done 2100/2476. 0.0472 s / img. ETA=0:00:17
[11/15 17:32:01 fsdet.evaluation.evaluator]: Inference done 2150/2476. 0.0472 s / img. ETA=0:00:15
[11/15 17:32:03 fsdet.evaluation.evaluator]: Inference done 2200/2476. 0.0471 s / img. ETA=0:00:13
[11/15 17:32:06 fsdet.evaluation.evaluator]: Inference done 2250/2476. 0.0471 s / img. ETA=0:00:10
[11/15 17:32:08 fsdet.evaluation.evaluator]: Inference done 2300/2476. 0.0471 s / img. ETA=0:00:08
[11/15 17:32:10 fsdet.evaluation.evaluator]: Inference done 2350/2476. 0.0471 s / img. ETA=0:00:05
[11/15 17:32:13 fsdet.evaluation.evaluator]: Inference done 2400/2476. 0.0471 s / img. ETA=0:00:03
[11/15 17:32:15 fsdet.evaluation.evaluator]: Inference done 2450/2476. 0.0471 s / img. ETA=0:00:01
[11/15 17:32:17 fsdet.evaluation.evaluator]: Total inference time: 0:01:56 (0.046945 s / img per device, on 2 devices)
[11/15 17:32:17 fsdet.evaluation.evaluator]: Total inference pure compute time: 0:01:51 (0.045015 s / img per device, on 2 devices)
[11/15 17:32:24 fsdet.evaluation.pascal_voc_evaluation]: Evaluating voc_2007_test_all1 using 2007 metric. Note that results do not use the official Matlab API.
[11/15 17:32:57 fsdet.evaluation.pascal_voc_evaluation]: Evaluate per-class mAP50:
|  aeroplane  |  bicycle  |  boat  |  bottle  |  car   |  cat   |  chair  |  diningtable  |  dog   |  horse  |  person  |  pottedplant  |  sheep  |  train  |  tvmonitor  |  bird  |  bus   |  cow   |  motorbike  |  sofa  |
|:-----------:|:---------:|:------:|:--------:|:------:|:------:|:-------:|:-------------:|:------:|:-------:|:--------:|:-------------:|:-------:|:-------:|:-----------:|:------:|:------:|:------:|:-----------:|:------:|
|   84.481    |  84.550   | 66.521 |  69.590  | 85.062 | 84.974 | 63.857  |    74.433     | 79.239 | 83.924  |  84.448  |    56.071     | 78.165  | 79.574  |   78.574    | 22.891 | 70.883 | 39.853 |   55.281    | 42.895 |
[11/15 17:32:57 fsdet.evaluation.pascal_voc_evaluation]: Evaluate overall bbox:
|   AP   |  AP50  |  AP75  |  bAP   |  bAP50  |  bAP75  |  nAP   |  nAP50  |  nAP75  |
|:------:|:------:|:------:|:------:|:-------:|:-------:|:------:|:-------:|:-------:|
| 41.099 | 69.263 | 43.117 | 46.915 | 76.898  | 50.327  | 23.652 | 46.361  | 21.489  |
[11/15 17:32:57 fsdet.engine.defaults]: Evaluation results for voc_2007_test_all1 in csv format:
[11/15 17:32:57 fsdet.evaluation.testing]: copypaste: Task: bbox
[11/15 17:32:57 fsdet.evaluation.testing]: copypaste: AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75
[11/15 17:32:57 fsdet.evaluation.testing]: copypaste: 41.0994,69.2635,43.1171,46.9152,76.8977,50.3265,23.6521,46.3607,21.4889
[11/15 17:32:57 d2.utils.events]:  eta: 2:22:21  iter: 3999  total_loss: 0.2025  loss_cls: 0.0466  loss_box_reg: 0.1239  loss_rpn_cls: 0.006922  loss_rpn_loc: 0.01545  contrastive_loss: 0.006531  time: 0.7859  data_time: 0.0435  lr: 0.01  max_mem: 13178M
[11/15 17:33:13 d2.utils.events]:  eta: 2:21:57  iter: 4019  total_loss: 0.2804  loss_cls: 0.05102  loss_box_reg: 0.1479  loss_rpn_cls: 0.005836  loss_rpn_loc: 0.01532  contrastive_loss: 0.04728  time: 0.7860  data_time: 0.0462  lr: 0.01  max_mem: 13178M
[11/15 17:33:29 d2.utils.events]:  eta: 2:21:41  iter: 4039  total_loss: 0.2772  loss_cls: 0.05809  loss_box_reg: 0.1565  loss_rpn_cls: 0.00666  loss_rpn_loc: 0.01403  contrastive_loss: 0.03578  time: 0.7860  data_time: 0.0474  lr: 0.01  max_mem: 13178M
[11/15 17:33:44 d2.utils.events]:  eta: 2:21:18  iter: 4059  total_loss: 0.2748  loss_cls: 0.05745  loss_box_reg: 0.1612  loss_rpn_cls: 0.008254  loss_rpn_loc: 0.01528  contrastive_loss: 0.02849  time: 0.7858  data_time: 0.0459  lr: 0.01  max_mem: 13178M
[11/15 17:34:00 d2.utils.events]:  eta: 2:21:03  iter: 4079  total_loss: 0.2524  loss_cls: 0.05175  loss_box_reg: 0.1476  loss_rpn_cls: 0.00606  loss_rpn_loc: 0.01754  contrastive_loss: 0.02482  time: 0.7859  data_time: 0.0439  lr: 0.01  max_mem: 13178M
[11/15 17:34:15 d2.utils.events]:  eta: 2:20:50  iter: 4099  total_loss: 0.2313  loss_cls: 0.05145  loss_box_reg: 0.139  loss_rpn_cls: 0.00578  loss_rpn_loc: 0.01557  contrastive_loss: 0.02247  time: 0.7858  data_time: 0.0437  lr: 0.01  max_mem: 13178M
[11/15 17:34:31 d2.utils.events]:  eta: 2:20:29  iter: 4119  total_loss: 0.2196  loss_cls: 0.04735  loss_box_reg: 0.1236  loss_rpn_cls: 0.005234  loss_rpn_loc: 0.01394  contrastive_loss: 0.01842  time: 0.7856  data_time: 0.0439  lr: 0.01  max_mem: 13178M
[11/15 17:34:47 d2.utils.events]:  eta: 2:20:13  iter: 4139  total_loss: 0.2301  loss_cls: 0.05048  loss_box_reg: 0.1409  loss_rpn_cls: 0.00639  loss_rpn_loc: 0.01463  contrastive_loss: 0.01738  time: 0.7858  data_time: 0.0494  lr: 0.01  max_mem: 13178M
[11/15 17:35:02 d2.utils.events]:  eta: 2:19:57  iter: 4159  total_loss: 0.2436  loss_cls: 0.04907  loss_box_reg: 0.1472  loss_rpn_cls: 0.00639  loss_rpn_loc: 0.01477  contrastive_loss: 0.01711  time: 0.7858  data_time: 0.0442  lr: 0.01  max_mem: 13178M
[11/15 17:35:18 d2.utils.events]:  eta: 2:19:43  iter: 4179  total_loss: 0.2497  loss_cls: 0.05426  loss_box_reg: 0.1554  loss_rpn_cls: 0.007314  loss_rpn_loc: 0.01973  contrastive_loss: 0.01206  time: 0.7858  data_time: 0.0450  lr: 0.01  max_mem: 13178M
[11/15 17:35:34 d2.utils.events]:  eta: 2:19:30  iter: 4199  total_loss: 0.2341  loss_cls: 0.05064  loss_box_reg: 0.1489  loss_rpn_cls: 0.006902  loss_rpn_loc: 0.01788  contrastive_loss: 0.01202  time: 0.7857  data_time: 0.0432  lr: 0.01  max_mem: 13178M
[11/15 17:35:50 d2.utils.events]:  eta: 2:19:11  iter: 4219  total_loss: 0.2319  loss_cls: 0.05246  loss_box_reg: 0.1499  loss_rpn_cls: 0.0059  loss_rpn_loc: 0.01776  contrastive_loss: 0.008807  time: 0.7859  data_time: 0.0508  lr: 0.01  max_mem: 13178M
[11/15 17:36:06 d2.utils.events]:  eta: 2:18:57  iter: 4239  total_loss: 0.2295  loss_cls: 0.05746  loss_box_reg: 0.1472  loss_rpn_cls: 0.005765  loss_rpn_loc: 0.01723  contrastive_loss: 0.007709  time: 0.7860  data_time: 0.0467  lr: 0.01  max_mem: 13178M
[11/15 17:36:22 d2.utils.events]:  eta: 2:18:40  iter: 4259  total_loss: 0.2403  loss_cls: 0.05544  loss_box_reg: 0.1484  loss_rpn_cls: 0.005892  loss_rpn_loc: 0.01554  contrastive_loss: 0.007479  time: 0.7859  data_time: 0.0475  lr: 0.01  max_mem: 13178M
[11/15 17:36:37 d2.utils.events]:  eta: 2:18:18  iter: 4279  total_loss: 0.2345  loss_cls: 0.05644  loss_box_reg: 0.1523  loss_rpn_cls: 0.007507  loss_rpn_loc: 0.01667  contrastive_loss: 0.008208  time: 0.7859  data_time: 0.0423  lr: 0.01  max_mem: 13178M
[11/15 17:36:53 d2.utils.events]:  eta: 2:18:03  iter: 4299  total_loss: 0.2089  loss_cls: 0.04708  loss_box_reg: 0.1307  loss_rpn_cls: 0.005894  loss_rpn_loc: 0.01309  contrastive_loss: 0.006847  time: 0.7858  data_time: 0.0373  lr: 0.01  max_mem: 13178M
[11/15 17:37:08 d2.utils.events]:  eta: 2:17:48  iter: 4319  total_loss: 0.2295  loss_cls: 0.05231  loss_box_reg: 0.1401  loss_rpn_cls: 0.006495  loss_rpn_loc: 0.0153  contrastive_loss: 0.00625  time: 0.7858  data_time: 0.0382  lr: 0.01  max_mem: 13178M
[11/15 17:37:24 d2.utils.events]:  eta: 2:17:26  iter: 4339  total_loss: 0.2202  loss_cls: 0.04702  loss_box_reg: 0.1328  loss_rpn_cls: 0.005547  loss_rpn_loc: 0.01735  contrastive_loss: 0.007394  time: 0.7858  data_time: 0.0409  lr: 0.01  max_mem: 13178M
[11/15 17:37:40 d2.utils.events]:  eta: 2:17:12  iter: 4359  total_loss: 0.2342  loss_cls: 0.05408  loss_box_reg: 0.1438  loss_rpn_cls: 0.006392  loss_rpn_loc: 0.01732  contrastive_loss: 0.006084  time: 0.7858  data_time: 0.0428  lr: 0.01  max_mem: 13178M
[11/15 17:37:55 d2.utils.events]:  eta: 2:16:51  iter: 4379  total_loss: 0.2295  loss_cls: 0.05287  loss_box_reg: 0.1461  loss_rpn_cls: 0.006887  loss_rpn_loc: 0.0176  contrastive_loss: 0.005974  time: 0.7856  data_time: 0.0424  lr: 0.01  max_mem: 13178M
[11/15 17:38:11 d2.utils.events]:  eta: 2:16:41  iter: 4399  total_loss: 0.225  loss_cls: 0.04852  loss_box_reg: 0.1412  loss_rpn_cls: 0.005626  loss_rpn_loc: 0.01717  contrastive_loss: 0.006685  time: 0.7857  data_time: 0.0523  lr: 0.01  max_mem: 13178M
[11/15 17:38:26 d2.utils.events]:  eta: 2:16:25  iter: 4419  total_loss: 0.2228  loss_cls: 0.05044  loss_box_reg: 0.1425  loss_rpn_cls: 0.004802  loss_rpn_loc: 0.01459  contrastive_loss: 0.01051  time: 0.7855  data_time: 0.0439  lr: 0.01  max_mem: 13178M
[11/15 17:38:41 d2.utils.events]:  eta: 2:16:11  iter: 4439  total_loss: 0.2385  loss_cls: 0.05396  loss_box_reg: 0.1494  loss_rpn_cls: 0.007142  loss_rpn_loc: 0.01765  contrastive_loss: 0.008923  time: 0.7855  data_time: 0.0441  lr: 0.01  max_mem: 13178M
[11/15 17:38:57 d2.utils.events]:  eta: 2:15:56  iter: 4459  total_loss: 0.2367  loss_cls: 0.05357  loss_box_reg: 0.1519  loss_rpn_cls: 0.005648  loss_rpn_loc: 0.01486  contrastive_loss: 0.006335  time: 0.7854  data_time: 0.0468  lr: 0.01  max_mem: 13178M
[11/15 17:39:12 d2.utils.events]:  eta: 2:15:37  iter: 4479  total_loss: 0.2222  loss_cls: 0.04981  loss_box_reg: 0.1371  loss_rpn_cls: 0.006256  loss_rpn_loc: 0.01855  contrastive_loss: 0.00734  time: 0.7852  data_time: 0.0431  lr: 0.01  max_mem: 13178M
[11/15 17:39:28 d2.utils.events]:  eta: 2:15:16  iter: 4499  total_loss: 0.2302  loss_cls: 0.05172  loss_box_reg: 0.14  loss_rpn_cls: 0.00737  loss_rpn_loc: 0.01378  contrastive_loss: 0.006131  time: 0.7853  data_time: 0.0461  lr: 0.01  max_mem: 13178M
[11/15 17:39:44 d2.utils.events]:  eta: 2:15:02  iter: 4519  total_loss: 0.2156  loss_cls: 0.04692  loss_box_reg: 0.1309  loss_rpn_cls: 0.00665  loss_rpn_loc: 0.01639  contrastive_loss: 0.006074  time: 0.7853  data_time: 0.0488  lr: 0.01  max_mem: 13178M
[11/15 17:40:00 d2.utils.events]:  eta: 2:14:48  iter: 4539  total_loss: 0.2018  loss_cls: 0.04667  loss_box_reg: 0.1307  loss_rpn_cls: 0.005777  loss_rpn_loc: 0.01417  contrastive_loss: 0.004857  time: 0.7854  data_time: 0.0416  lr: 0.01  max_mem: 13178M
[11/15 17:40:16 d2.utils.events]:  eta: 2:14:35  iter: 4559  total_loss: 0.2215  loss_cls: 0.04956  loss_box_reg: 0.1424  loss_rpn_cls: 0.004529  loss_rpn_loc: 0.01626  contrastive_loss: 0.005539  time: 0.7856  data_time: 0.0429  lr: 0.01  max_mem: 13178M
[11/15 17:40:32 d2.utils.events]:  eta: 2:14:14  iter: 4579  total_loss: 0.2136  loss_cls: 0.04963  loss_box_reg: 0.1358  loss_rpn_cls: 0.005721  loss_rpn_loc: 0.01517  contrastive_loss: 0.005769  time: 0.7856  data_time: 0.0457  lr: 0.01  max_mem: 13178M
[11/15 17:40:48 d2.utils.events]:  eta: 2:13:59  iter: 4599  total_loss: 0.218  loss_cls: 0.05246  loss_box_reg: 0.1349  loss_rpn_cls: 0.005827  loss_rpn_loc: 0.01395  contrastive_loss: 0.004683  time: 0.7856  data_time: 0.0488  lr: 0.01  max_mem: 13178M
[11/15 17:41:03 d2.utils.events]:  eta: 2:13:41  iter: 4619  total_loss: 0.2262  loss_cls: 0.05053  loss_box_reg: 0.1466  loss_rpn_cls: 0.006412  loss_rpn_loc: 0.01784  contrastive_loss: 0.00618  time: 0.7856  data_time: 0.0456  lr: 0.01  max_mem: 13178M
[11/15 17:41:20 d2.utils.events]:  eta: 2:13:28  iter: 4639  total_loss: 0.2126  loss_cls: 0.0477  loss_box_reg: 0.1348  loss_rpn_cls: 0.004637  loss_rpn_loc: 0.01692  contrastive_loss: 0.006037  time: 0.7857  data_time: 0.0446  lr: 0.01  max_mem: 13178M
[11/15 17:41:35 d2.utils.events]:  eta: 2:13:12  iter: 4659  total_loss: 0.2151  loss_cls: 0.04703  loss_box_reg: 0.1291  loss_rpn_cls: 0.00624  loss_rpn_loc: 0.01487  contrastive_loss: 0.00516  time: 0.7856  data_time: 0.0450  lr: 0.01  max_mem: 13178M
[11/15 17:41:51 d2.utils.events]:  eta: 2:13:05  iter: 4679  total_loss: 0.1897  loss_cls: 0.04519  loss_box_reg: 0.1194  loss_rpn_cls: 0.005068  loss_rpn_loc: 0.01432  contrastive_loss: 0.005146  time: 0.7856  data_time: 0.0495  lr: 0.01  max_mem: 13178M
[11/15 17:42:06 d2.utils.events]:  eta: 2:12:49  iter: 4699  total_loss: 0.2259  loss_cls: 0.05011  loss_box_reg: 0.1443  loss_rpn_cls: 0.004887  loss_rpn_loc: 0.01517  contrastive_loss: 0.005145  time: 0.7855  data_time: 0.0374  lr: 0.01  max_mem: 13178M
[11/15 17:42:21 d2.utils.events]:  eta: 2:12:35  iter: 4719  total_loss: 0.2121  loss_cls: 0.04812  loss_box_reg: 0.1356  loss_rpn_cls: 0.005273  loss_rpn_loc: 0.01447  contrastive_loss: 0.005202  time: 0.7854  data_time: 0.0425  lr: 0.01  max_mem: 13178M
[11/15 17:42:37 d2.utils.events]:  eta: 2:12:20  iter: 4739  total_loss: 0.2296  loss_cls: 0.04927  loss_box_reg: 0.1444  loss_rpn_cls: 0.005861  loss_rpn_loc: 0.01774  contrastive_loss: 0.00547  time: 0.7854  data_time: 0.0444  lr: 0.01  max_mem: 13178M
[11/15 17:42:52 d2.utils.events]:  eta: 2:12:04  iter: 4759  total_loss: 0.2128  loss_cls: 0.04532  loss_box_reg: 0.1334  loss_rpn_cls: 0.00422  loss_rpn_loc: 0.0132  contrastive_loss: 0.005099  time: 0.7853  data_time: 0.0429  lr: 0.01  max_mem: 13178M
[11/15 17:43:08 d2.utils.events]:  eta: 2:11:47  iter: 4779  total_loss: 0.2134  loss_cls: 0.04719  loss_box_reg: 0.137  loss_rpn_cls: 0.006203  loss_rpn_loc: 0.01558  contrastive_loss: 0.004321  time: 0.7853  data_time: 0.0457  lr: 0.01  max_mem: 13178M
[11/15 17:43:24 d2.utils.events]:  eta: 2:11:32  iter: 4799  total_loss: 0.185  loss_cls: 0.04263  loss_box_reg: 0.1179  loss_rpn_cls: 0.005527  loss_rpn_loc: 0.01477  contrastive_loss: 0.005153  time: 0.7855  data_time: 0.0414  lr: 0.01  max_mem: 13178M
[11/15 17:43:40 d2.utils.events]:  eta: 2:11:13  iter: 4819  total_loss: 0.2117  loss_cls: 0.04701  loss_box_reg: 0.1382  loss_rpn_cls: 0.00583  loss_rpn_loc: 0.0156  contrastive_loss: 0.00458  time: 0.7854  data_time: 0.0477  lr: 0.01  max_mem: 13178M
[11/15 17:43:55 d2.utils.events]:  eta: 2:10:54  iter: 4839  total_loss: 0.2048  loss_cls: 0.04838  loss_box_reg: 0.1345  loss_rpn_cls: 0.005004  loss_rpn_loc: 0.01292  contrastive_loss: 0.003994  time: 0.7853  data_time: 0.0393  lr: 0.01  max_mem: 13178M
[11/15 17:44:11 d2.utils.events]:  eta: 2:10:40  iter: 4859  total_loss: 0.2669  loss_cls: 0.05924  loss_box_reg: 0.1684  loss_rpn_cls: 0.006532  loss_rpn_loc: 0.01592  contrastive_loss: 0.004634  time: 0.7853  data_time: 0.0371  lr: 0.01  max_mem: 13178M
[11/15 17:44:27 d2.utils.events]:  eta: 2:10:22  iter: 4879  total_loss: 0.2168  loss_cls: 0.04981  loss_box_reg: 0.1427  loss_rpn_cls: 0.004968  loss_rpn_loc: 0.01383  contrastive_loss: 0.005338  time: 0.7854  data_time: 0.0472  lr: 0.01  max_mem: 13178M
[11/15 17:44:42 d2.utils.events]:  eta: 2:10:02  iter: 4899  total_loss: 0.2224  loss_cls: 0.05203  loss_box_reg: 0.1464  loss_rpn_cls: 0.00461  loss_rpn_loc: 0.01453  contrastive_loss: 0.005317  time: 0.7853  data_time: 0.0398  lr: 0.01  max_mem: 13178M
[11/15 17:44:58 d2.utils.events]:  eta: 2:09:47  iter: 4919  total_loss: 0.2036  loss_cls: 0.04703  loss_box_reg: 0.1329  loss_rpn_cls: 0.0061  loss_rpn_loc: 0.01561  contrastive_loss: 0.00412  time: 0.7853  data_time: 0.0403  lr: 0.01  max_mem: 13178M
[11/15 17:45:13 d2.utils.events]:  eta: 2:09:31  iter: 4939  total_loss: 0.2024  loss_cls: 0.04446  loss_box_reg: 0.1247  loss_rpn_cls: 0.006565  loss_rpn_loc: 0.01472  contrastive_loss: 0.004559  time: 0.7853  data_time: 0.0409  lr: 0.01  max_mem: 13178M
[11/15 17:45:30 d2.utils.events]:  eta: 2:09:18  iter: 4959  total_loss: 0.1997  loss_cls: 0.04377  loss_box_reg: 0.1299  loss_rpn_cls: 0.005124  loss_rpn_loc: 0.01528  contrastive_loss: 0.006047  time: 0.7855  data_time: 0.0451  lr: 0.01  max_mem: 13178M
[11/15 17:45:45 d2.utils.events]:  eta: 2:09:01  iter: 4979  total_loss: 0.2511  loss_cls: 0.05665  loss_box_reg: 0.167  loss_rpn_cls: 0.00509  loss_rpn_loc: 0.01665  contrastive_loss: 0.005516  time: 0.7853  data_time: 0.0413  lr: 0.01  max_mem: 13178M
[11/15 17:46:00 fvcore.common.checkpoint]: Saving checkpoint to checkpoints/voc/distill/ETFRes_distill1_10shot_lr10_/model_0004999.pth
[11/15 17:46:01 d2.utils.events]:  eta: 2:08:48  iter: 4999  total_loss: 0.2161  loss_cls: 0.04879  loss_box_reg: 0.138  loss_rpn_cls: 0.006892  loss_rpn_loc: 0.01619  contrastive_loss: 0.00491  time: 0.7853  data_time: 0.0398  lr: 0.01  max_mem: 13178M
[11/15 17:46:18 d2.utils.events]:  eta: 2:08:36  iter: 5019  total_loss: 0.2678  loss_cls: 0.05087  loss_box_reg: 0.139  loss_rpn_cls: 0.005843  loss_rpn_loc: 0.01723  contrastive_loss: 0.04213  time: 0.7854  data_time: 0.0427  lr: 0.01  max_mem: 13178M
[11/15 17:46:33 d2.utils.events]:  eta: 2:08:22  iter: 5039  total_loss: 0.2391  loss_cls: 0.05065  loss_box_reg: 0.1368  loss_rpn_cls: 0.005965  loss_rpn_loc: 0.01401  contrastive_loss: 0.02376  time: 0.7854  data_time: 0.0413  lr: 0.01  max_mem: 13178M
[11/15 17:46:49 d2.utils.events]:  eta: 2:08:12  iter: 5059  total_loss: 0.2218  loss_cls: 0.04724  loss_box_reg: 0.1424  loss_rpn_cls: 0.006104  loss_rpn_loc: 0.01586  contrastive_loss: 0.01678  time: 0.7853  data_time: 0.0429  lr: 0.01  max_mem: 13178M
[11/15 17:47:04 d2.utils.events]:  eta: 2:07:52  iter: 5079  total_loss: 0.2094  loss_cls: 0.04647  loss_box_reg: 0.13  loss_rpn_cls: 0.005833  loss_rpn_loc: 0.01692  contrastive_loss: 0.01024  time: 0.7852  data_time: 0.0417  lr: 0.01  max_mem: 13178M
[11/15 17:47:19 d2.utils.events]:  eta: 2:07:35  iter: 5099  total_loss: 0.2181  loss_cls: 0.05024  loss_box_reg: 0.1356  loss_rpn_cls: 0.00594  loss_rpn_loc: 0.01449  contrastive_loss: 0.01029  time: 0.7851  data_time: 0.0416  lr: 0.01  max_mem: 13178M
[11/15 17:47:34 d2.utils.events]:  eta: 2:07:20  iter: 5119  total_loss: 0.2357  loss_cls: 0.05254  loss_box_reg: 0.145  loss_rpn_cls: 0.005743  loss_rpn_loc: 0.01669  contrastive_loss: 0.009766  time: 0.7850  data_time: 0.0375  lr: 0.01  max_mem: 13178M
[11/15 17:47:50 d2.utils.events]:  eta: 2:07:02  iter: 5139  total_loss: 0.2174  loss_cls: 0.05036  loss_box_reg: 0.1295  loss_rpn_cls: 0.00554  loss_rpn_loc: 0.0158  contrastive_loss: 0.009448  time: 0.7849  data_time: 0.0407  lr: 0.01  max_mem: 13178M
[11/15 17:48:06 d2.utils.events]:  eta: 2:06:51  iter: 5159  total_loss: 0.2296  loss_cls: 0.05122  loss_box_reg: 0.1448  loss_rpn_cls: 0.005908  loss_rpn_loc: 0.01489  contrastive_loss: 0.009402  time: 0.7850  data_time: 0.0391  lr: 0.01  max_mem: 13178M
[11/15 17:48:21 d2.utils.events]:  eta: 2:06:32  iter: 5179  total_loss: 0.2289  loss_cls: 0.04929  loss_box_reg: 0.1513  loss_rpn_cls: 0.005389  loss_rpn_loc: 0.01613  contrastive_loss: 0.007914  time: 0.7849  data_time: 0.0401  lr: 0.01  max_mem: 13178M
[11/15 17:48:36 d2.utils.events]:  eta: 2:06:12  iter: 5199  total_loss: 0.217  loss_cls: 0.04896  loss_box_reg: 0.1369  loss_rpn_cls: 0.005859  loss_rpn_loc: 0.01318  contrastive_loss: 0.007695  time: 0.7848  data_time: 0.0407  lr: 0.01  max_mem: 13178M
