nohup: ignoring input
Command Line Args: Namespace(config_file='configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
Logging modification for finetuning
[11/18 15:13:29 detectron2]: Rank of current process: 0. World size: 2
[11/18 15:13:29 detectron2]: Command line arguments: Namespace(config_file='configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml', dist_url='tcp://127.0.0.1:49152', end_iter=-1, eval_all=False, eval_during_train=False, eval_iter=-1, eval_only=False, machine_rank=0, num_gpus=2, num_machines=1, opts=None, resume=False, start_iter=-1)
[11/18 15:13:29 detectron2]: Contents of args.config_file=configs/PascalVOC-detection/split2/faster_rcnn_R_101_FPN_ETF_distill2_10shot.yaml:
_BASE_: "faster_rcnn_R_101_FPN_ETF_pre2_10shot.yaml"


MODEL:
  META_ARCHITECTURE: "ContrastiveGeneralizedRCNN"  # 使用我们新定义的对比学习架构
  TEACHER_WEIGHT: "/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_final.pth"
  BACKBONE:
    FREEZE_AT: 3
  PROPOSAL_GENERATOR:
    FREEZE: True
  ROI_HEADS:
    NAME: "DistillMarginROIHeads"
  USE_CONTRASTIVE: True  # 启用对比学习
  CONTRASTIVE_WEIGHT: 0.001  # 对比损失的权重
  IS_DISTILL: True
LOSS:
  ADJUST_STAGE: 'distill'
SOLVER:
  BASE_LR: 0.01
# Using 0.04 is slightly better than 0.02
OUTPUT_DIR: "/root/autodl-tmp/checkpoints/voc/distill/t1"
TRAIN:
  CACHE_UPDATE_INTERVAL: 1000



[11/18 15:13:29 detectron2]: Full config saved to /root/autodl-tmp/ETFRes_distill2_10shot_lr10_t1/config.yaml
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth
[11/18 15:13:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
[11/18 15:13:30 fsdet.modeling.roi_heads.fast_rcnn]: ETF Residusl True
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['aeroplane', 'bottle', 'cow', 'horse', 'sofa']
[11/18 15:13:31 d2.data.build]: Removed 1772 images with no usable annotations. 14829 images left.
[11/18 15:13:32 d2.data.build]: Distribution of instances among all 20 categories:
|  category  | #instances   |  category   | #instances   |  category   | #instances   |
|:----------:|:-------------|:-----------:|:-------------|:-----------:|:-------------|
|  bicycle   | 1208         |    bird     | 1820         |    boat     | 1397         |
|    bus     | 909          |     car     | 4008         |     cat     | 1616         |
|   chair    | 4338         | diningtable | 1057         |     dog     | 2079         |
| motorbike  | 1141         |   person    | 15576        | pottedplant | 1724         |
|   sheep    | 1347         |    train    | 984          |  tvmonitor  | 1193         |
| aeroplane  | 10           |   bottle    | 10           |     cow     | 10           |
|   horse    | 10           |    sofa     | 10           |             |              |
|   total    | 40447        |             |              |             |              |
[11/18 15:13:32 d2.data.dataset_mapper]: [DatasetMapper] Augmentations used in training: [ResizeShortestEdge(short_edge_length=(480, 512, 544, 576, 608, 640, 672, 704, 736, 768, 800), max_size=1333, sample_style='choice'), RandomFlip()]
[11/18 15:13:32 d2.data.build]: Using training sampler RepeatFactorTrainingSampler
[11/18 15:13:32 d2.data.common]: Serializing 14829 elements to byte tensors and concatenating them all ...
[11/18 15:13:32 d2.data.common]: Serialized dataset takes 6.68 MiB
[11/18 15:13:32 fvcore.common.checkpoint]: [Checkpointer] Loading from /root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth ...
Logging modification for finetuning
preset seed 0
/root/autodl-tmp/checkpoints/voc/prior/ETFRes_pre2_10shot_lr20_adj1.0_rfs1.0_t1/model_clean_student.pth
froze proposal generator parameters
Frozen backbone bottom_up layers up to layer 3
Logging names for 5 novel classes:  ['aeroplane', 'bottle', 'cow', 'horse', 'sofa']
[11/18 15:13:33 d2.engine.train_loop]: Starting training from iteration 1
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[W reducer.cpp:1158] Warning: find_unused_parameters=True was specified in DDP constructor, but did not find any unused parameters in the forward pass. This flag results in an extra traversal of the autograd graph every iteration,  which can adversely affect performance. If your model indeed never has any unused parameters in the forward pass, consider turning this flag off. Note that this warning may be a false positive if your model has flow control causing later iterations to have unused parameters. (function operator())
[11/18 15:14:07 d2.utils.events]:  eta: 4:06:39  iter: 19  total_loss: 1.813  loss_cls: 0.03206  loss_box_reg: 0.1238  loss_rpn_cls: 0.003377  loss_rpn_loc: 0.01382  contrastive_loss: 1.672  time: 0.7647  data_time: 0.4016  lr: 0.0009091  max_mem: 12989M
[11/18 15:53:49 fsdet.evaluation.evaluator]: Inference done 2450/2476. 0.0473 s / img. ETA=0:00:01
[11/18 15:53:51 fsdet.evaluation.evaluator]: Total inference time: 0:01:57 (0.047349 s / img per device, on 2 devices)
[11/18 15:53:51 fsdet.evaluation.evaluator]: Total inference pure compute time: 0:01:52 (0.045551 s / img per device, on 2 devices)
[11/18 15:53:52 fsdet.evaluation.pascal_voc_evaluation]: Evaluating voc_2007_test_all2 using 2007 metric. Note that results do not use the official Matlab API.
[11/18 15:54:09 fsdet.evaluation.pascal_voc_evaluation]: Evaluate per-class mAP50:
|  bicycle  |  bird  |  boat  |  bus   |  car   |  cat   |  chair  |  diningtable  |  dog   |  motorbike  |  person  |  pottedplant  |  sheep  |  train  |  tvmonitor  |  aeroplane  |  bottle  |  cow   |  horse  |  sofa  |
|:---------:|:------:|:------:|:------:|:------:|:------:|:-------:|:-------------:|:------:|:-----------:|:--------:|:-------------:|:-------:|:-------:|:-----------:|:-----------:|:--------:|:------:|:-------:|:------:|
|  86.951   | 82.890 | 67.851 | 86.517 | 87.837 | 87.208 | 64.996  |    75.098     | 85.067 |   85.667    |  86.255  |    55.064     | 81.293  | 86.741  |   81.381    |   47.009    |  12.554  | 58.656 | 50.748  | 49.580 |
[11/18 15:54:09 fsdet.evaluation.pascal_voc_evaluation]: Evaluate overall bbox:
|   AP   |  AP50  |  AP75  |  bAP   |  bAP50  |  bAP75  |  nAP   |  nAP50  |  nAP75  |
|:------:|:------:|:------:|:------:|:-------:|:-------:|:------:|:-------:|:-------:|
| 44.466 | 70.968 | 47.799 | 51.478 | 80.055  | 56.451  | 23.430 | 43.709  | 21.844  |
[11/18 15:54:09 fsdet.engine.defaults]: Evaluation results for voc_2007_test_all2 in csv format:
[11/18 15:54:09 fsdet.evaluation.testing]: copypaste: Task: bbox
[11/18 15:54:09 fsdet.evaluation.testing]: copypaste: AP,AP50,AP75,bAP,bAP50,bAP75,nAP,nAP50,nAP75
[11/18 15:54:09 fsdet.evaluation.testing]: copypaste: 44.4659,70.9682,47.7993,51.4780,80.0546,56.4509,23.4299,43.7093,21.8444
[11/18 15:54:09 d2.utils.events]:  eta: 3:32:32  iter: 2999  total_loss: 0.1921  loss_cls: 0.03938  loss_box_reg: 0.1278  loss_rpn_cls: 0.004666  loss_rpn_loc: 0.0139  contrastive_loss: 0.006342  time: 0.7580  data_time: 0.0294  lr: 0.01  max_mem: 14438M
[11/18 15:54:25 d2.utils.events]:  eta: 3:32:17  iter: 3019  total_loss: 0.2191  loss_cls: 0.03052  loss_box_reg: 0.1052  loss_rpn_cls: 0.003262  loss_rpn_loc: 0.01213  contrastive_loss: 0.06793  time: 0.7583  data_time: 0.0292  lr: 0.01  max_mem: 14438M
[11/18 15:54:40 d2.utils.events]:  eta: 3:32:10  iter: 3039  total_loss: 0.2141  loss_cls: 0.03411  loss_box_reg: 0.1202  loss_rpn_cls: 0.003728  loss_rpn_loc: 0.01504  contrastive_loss: 0.03689  time: 0.7584  data_time: 0.0310  lr: 0.01  max_mem: 14438M
[11/18 15:54:54 d2.utils.events]:  eta: 3:31:47  iter: 3059  total_loss: 0.1911  loss_cls: 0.03391  loss_box_reg: 0.1109  loss_rpn_cls: 0.003556  loss_rpn_loc: 0.0138  contrastive_loss: 0.02434  time: 0.7581  data_time: 0.0245  lr: 0.01  max_mem: 14438M
[11/18 15:55:10 d2.utils.events]:  eta: 3:31:32  iter: 3079  total_loss: 0.1853  loss_cls: 0.03194  loss_box_reg: 0.1074  loss_rpn_cls: 0.005545  loss_rpn_loc: 0.01497  contrastive_loss: 0.01916  time: 0.7582  data_time: 0.0254  lr: 0.01  max_mem: 14438M
[11/18 15:55:25 d2.utils.events]:  eta: 3:31:18  iter: 3099  total_loss: 0.2093  loss_cls: 0.04054  loss_box_reg: 0.1291  loss_rpn_cls: 0.004473  loss_rpn_loc: 0.01746  contrastive_loss: 0.01658  time: 0.7582  data_time: 0.0257  lr: 0.01  max_mem: 14438M
[11/18 15:55:39 d2.utils.events]:  eta: 3:31:03  iter: 3119  total_loss: 0.1932  loss_cls: 0.03711  loss_box_reg: 0.1221  loss_rpn_cls: 0.00422  loss_rpn_loc: 0.01512  contrastive_loss: 0.01736  time: 0.7580  data_time: 0.0253  lr: 0.01  max_mem: 14438M
[11/18 15:55:54 d2.utils.events]:  eta: 3:30:47  iter: 3139  total_loss: 0.1842  loss_cls: 0.03149  loss_box_reg: 0.1135  loss_rpn_cls: 0.003591  loss_rpn_loc: 0.01515  contrastive_loss: 0.01572  time: 0.7578  data_time: 0.0259  lr: 0.01  max_mem: 14438M
[11/18 15:56:09 d2.utils.events]:  eta: 3:30:32  iter: 3159  total_loss: 0.1943  loss_cls: 0.03506  loss_box_reg: 0.1201  loss_rpn_cls: 0.004366  loss_rpn_loc: 0.01315  contrastive_loss: 0.02007  time: 0.7577  data_time: 0.0255  lr: 0.01  max_mem: 14438M
[11/18 15:56:24 d2.utils.events]:  eta: 3:30:09  iter: 3179  total_loss: 0.2004  loss_cls: 0.03522  loss_box_reg: 0.1314  loss_rpn_cls: 0.00401  loss_rpn_loc: 0.01629  contrastive_loss: 0.01603  time: 0.7576  data_time: 0.0264  lr: 0.01  max_mem: 14438M
[11/18 15:56:38 d2.utils.events]:  eta: 3:29:50  iter: 3199  total_loss: 0.2029  loss_cls: 0.03935  loss_box_reg: 0.1248  loss_rpn_cls: 0.005011  loss_rpn_loc: 0.01517  contrastive_loss: 0.01316  time: 0.7575  data_time: 0.0268  lr: 0.01  max_mem: 14438M
[11/18 15:56:54 d2.utils.events]:  eta: 3:29:35  iter: 3219  total_loss: 0.1762  loss_cls: 0.03281  loss_box_reg: 0.1114  loss_rpn_cls: 0.002884  loss_rpn_loc: 0.01036  contrastive_loss: 0.01229  time: 0.7574  data_time: 0.0286  lr: 0.01  max_mem: 14438M
[11/18 15:57:08 d2.utils.events]:  eta: 3:29:08  iter: 3239  total_loss: 0.1697  loss_cls: 0.03422  loss_box_reg: 0.1072  loss_rpn_cls: 0.004106  loss_rpn_loc: 0.01415  contrastive_loss: 0.01368  time: 0.7573  data_time: 0.0271  lr: 0.01  max_mem: 14438M
[11/18 15:57:23 d2.utils.events]:  eta: 3:28:47  iter: 3259  total_loss: 0.1938  loss_cls: 0.03759  loss_box_reg: 0.1273  loss_rpn_cls: 0.004299  loss_rpn_loc: 0.01337  contrastive_loss: 0.01099  time: 0.7573  data_time: 0.0271  lr: 0.01  max_mem: 14438M
[11/18 15:57:39 d2.utils.events]:  eta: 3:28:49  iter: 3279  total_loss: 0.1844  loss_cls: 0.03577  loss_box_reg: 0.1202  loss_rpn_cls: 0.003749  loss_rpn_loc: 0.01421  contrastive_loss: 0.0123  time: 0.7574  data_time: 0.0306  lr: 0.01  max_mem: 14438M
[11/18 15:57:54 d2.utils.events]:  eta: 3:28:38  iter: 3299  total_loss: 0.1791  loss_cls: 0.03815  loss_box_reg: 0.1165  loss_rpn_cls: 0.004033  loss_rpn_loc: 0.01232  contrastive_loss: 0.009364  time: 0.7575  data_time: 0.0241  lr: 0.01  max_mem: 14438M
[11/18 15:58:09 d2.utils.events]:  eta: 3:28:19  iter: 3319  total_loss: 0.184  loss_cls: 0.03369  loss_box_reg: 0.1164  loss_rpn_cls: 0.003834  loss_rpn_loc: 0.0141  contrastive_loss: 0.01251  time: 0.7573  data_time: 0.0278  lr: 0.01  max_mem: 14438M
[11/18 15:58:24 d2.utils.events]:  eta: 3:27:56  iter: 3339  total_loss: 0.213  loss_cls: 0.04009  loss_box_reg: 0.1373  loss_rpn_cls: 0.004077  loss_rpn_loc: 0.01811  contrastive_loss: 0.01319  time: 0.7573  data_time: 0.0287  lr: 0.01  max_mem: 14438M
[11/18 15:58:39 d2.utils.events]:  eta: 3:27:53  iter: 3359  total_loss: 0.1995  loss_cls: 0.03494  loss_box_reg: 0.1261  loss_rpn_cls: 0.004929  loss_rpn_loc: 0.01717  contrastive_loss: 0.01214  time: 0.7574  data_time: 0.0291  lr: 0.01  max_mem: 14438M
[11/18 15:58:54 d2.utils.events]:  eta: 3:27:38  iter: 3379  total_loss: 0.1821  loss_cls: 0.0352  loss_box_reg: 0.1115  loss_rpn_cls: 0.004248  loss_rpn_loc: 0.01448  contrastive_loss: 0.01157  time: 0.7572  data_time: 0.0286  lr: 0.01  max_mem: 14438M
[11/18 15:59:09 d2.utils.events]:  eta: 3:27:19  iter: 3399  total_loss: 0.1801  loss_cls: 0.03218  loss_box_reg: 0.1224  loss_rpn_cls: 0.003831  loss_rpn_loc: 0.01337  contrastive_loss: 0.01196  time: 0.7570  data_time: 0.0295  lr: 0.01  max_mem: 14438M
[11/18 15:59:24 d2.utils.events]:  eta: 3:27:07  iter: 3419  total_loss: 0.1853  loss_cls: 0.03473  loss_box_reg: 0.1208  loss_rpn_cls: 0.003598  loss_rpn_loc: 0.01349  contrastive_loss: 0.01049  time: 0.7570  data_time: 0.0283  lr: 0.01  max_mem: 14438M
[11/18 15:59:39 d2.utils.events]:  eta: 3:26:50  iter: 3439  total_loss: 0.1791  loss_cls: 0.03452  loss_box_reg: 0.1128  loss_rpn_cls: 0.004555  loss_rpn_loc: 0.01246  contrastive_loss: 0.01675  time: 0.7572  data_time: 0.0254  lr: 0.01  max_mem: 14438M
[11/18 15:59:55 d2.utils.events]:  eta: 3:26:31  iter: 3459  total_loss: 0.2039  loss_cls: 0.03867  loss_box_reg: 0.134  loss_rpn_cls: 0.004573  loss_rpn_loc: 0.01392  contrastive_loss: 0.01361  time: 0.7572  data_time: 0.0298  lr: 0.01  max_mem: 14438M
[11/18 16:00:09 d2.utils.events]:  eta: 3:26:11  iter: 3479  total_loss: 0.1907  loss_cls: 0.03586  loss_box_reg: 0.1236  loss_rpn_cls: 0.003987  loss_rpn_loc: 0.01308  contrastive_loss: 0.01058  time: 0.7571  data_time: 0.0273  lr: 0.01  max_mem: 14438M
[11/18 16:00:25 d2.utils.events]:  eta: 3:25:57  iter: 3499  total_loss: 0.1713  loss_cls: 0.03446  loss_box_reg: 0.1145  loss_rpn_cls: 0.003706  loss_rpn_loc: 0.01304  contrastive_loss: 0.008552  time: 0.7573  data_time: 0.0277  lr: 0.01  max_mem: 14438M
[11/18 16:00:40 d2.utils.events]:  eta: 3:25:41  iter: 3519  total_loss: 0.1845  loss_cls: 0.037  loss_box_reg: 0.116  loss_rpn_cls: 0.004011  loss_rpn_loc: 0.01546  contrastive_loss: 0.009828  time: 0.7572  data_time: 0.0261  lr: 0.01  max_mem: 14438M
[11/18 16:00:56 d2.utils.events]:  eta: 3:25:26  iter: 3539  total_loss: 0.1675  loss_cls: 0.03458  loss_box_reg: 0.1058  loss_rpn_cls: 0.004516  loss_rpn_loc: 0.01371  contrastive_loss: 0.01  time: 0.7573  data_time: 0.0301  lr: 0.01  max_mem: 14438M
[11/18 16:01:11 d2.utils.events]:  eta: 3:25:20  iter: 3559  total_loss: 0.2027  loss_cls: 0.04023  loss_box_reg: 0.1294  loss_rpn_cls: 0.003862  loss_rpn_loc: 0.0145  contrastive_loss: 0.0131  time: 0.7574  data_time: 0.0322  lr: 0.01  max_mem: 14438M
[11/18 16:01:27 d2.utils.events]:  eta: 3:25:15  iter: 3579  total_loss: 0.1777  loss_cls: 0.03238  loss_box_reg: 0.1139  loss_rpn_cls: 0.003059  loss_rpn_loc: 0.01317  contrastive_loss: 0.008767  time: 0.7575  data_time: 0.0274  lr: 0.01  max_mem: 14438M
[11/18 16:01:42 d2.utils.events]:  eta: 3:24:50  iter: 3599  total_loss: 0.1759  loss_cls: 0.03293  loss_box_reg: 0.1184  loss_rpn_cls: 0.003782  loss_rpn_loc: 0.01231  contrastive_loss: 0.006827  time: 0.7575  data_time: 0.0262  lr: 0.01  max_mem: 14438M
[11/18 16:01:57 d2.utils.events]:  eta: 3:24:40  iter: 3619  total_loss: 0.1754  loss_cls: 0.0353  loss_box_reg: 0.1154  loss_rpn_cls: 0.003216  loss_rpn_loc: 0.01207  contrastive_loss: 0.01106  time: 0.7576  data_time: 0.0305  lr: 0.01  max_mem: 14438M
[11/18 16:02:13 d2.utils.events]:  eta: 3:24:25  iter: 3639  total_loss: 0.1998  loss_cls: 0.03742  loss_box_reg: 0.1312  loss_rpn_cls: 0.004589  loss_rpn_loc: 0.01589  contrastive_loss: 0.009524  time: 0.7577  data_time: 0.0258  lr: 0.01  max_mem: 14438M
[11/18 16:02:29 d2.utils.events]:  eta: 3:24:12  iter: 3659  total_loss: 0.1789  loss_cls: 0.03392  loss_box_reg: 0.1157  loss_rpn_cls: 0.004456  loss_rpn_loc: 0.01424  contrastive_loss: 0.007515  time: 0.7579  data_time: 0.0292  lr: 0.01  max_mem: 14438M
[11/18 16:02:44 d2.utils.events]:  eta: 3:24:05  iter: 3679  total_loss: 0.1962  loss_cls: 0.037  loss_box_reg: 0.1245  loss_rpn_cls: 0.004101  loss_rpn_loc: 0.01413  contrastive_loss: 0.008535  time: 0.7578  data_time: 0.0295  lr: 0.01  max_mem: 14438M
[11/18 16:02:59 d2.utils.events]:  eta: 3:23:42  iter: 3699  total_loss: 0.1799  loss_cls: 0.03577  loss_box_reg: 0.1157  loss_rpn_cls: 0.002901  loss_rpn_loc: 0.0132  contrastive_loss: 0.00951  time: 0.7579  data_time: 0.0305  lr: 0.01  max_mem: 14438M
[11/18 16:03:15 d2.utils.events]:  eta: 3:23:41  iter: 3719  total_loss: 0.1756  loss_cls: 0.03497  loss_box_reg: 0.1067  loss_rpn_cls: 0.003802  loss_rpn_loc: 0.01214  contrastive_loss: 0.01036  time: 0.7581  data_time: 0.0281  lr: 0.01  max_mem: 14438M
[11/18 16:03:30 d2.utils.events]:  eta: 3:23:49  iter: 3739  total_loss: 0.1753  loss_cls: 0.03572  loss_box_reg: 0.1132  loss_rpn_cls: 0.003652  loss_rpn_loc: 0.01353  contrastive_loss: 0.008321  time: 0.7582  data_time: 0.0268  lr: 0.01  max_mem: 14438M
[11/18 16:03:45 d2.utils.events]:  eta: 3:23:34  iter: 3759  total_loss: 0.1682  loss_cls: 0.03155  loss_box_reg: 0.1143  loss_rpn_cls: 0.00251  loss_rpn_loc: 0.01305  contrastive_loss: 0.009975  time: 0.7581  data_time: 0.0257  lr: 0.01  max_mem: 14438M
[11/18 16:04:01 d2.utils.events]:  eta: 3:23:25  iter: 3779  total_loss: 0.1602  loss_cls: 0.03078  loss_box_reg: 0.1035  loss_rpn_cls: 0.002812  loss_rpn_loc: 0.01214  contrastive_loss: 0.007784  time: 0.7582  data_time: 0.0252  lr: 0.01  max_mem: 14438M
[11/18 16:04:16 d2.utils.events]:  eta: 3:23:04  iter: 3799  total_loss: 0.1902  loss_cls: 0.03625  loss_box_reg: 0.1253  loss_rpn_cls: 0.00372  loss_rpn_loc: 0.01557  contrastive_loss: 0.007486  time: 0.7581  data_time: 0.0254  lr: 0.01  max_mem: 14438M
[11/18 16:04:31 d2.utils.events]:  eta: 3:22:55  iter: 3819  total_loss: 0.1602  loss_cls: 0.03392  loss_box_reg: 0.1026  loss_rpn_cls: 0.002827  loss_rpn_loc: 0.01137  contrastive_loss: 0.008143  time: 0.7581  data_time: 0.0302  lr: 0.01  max_mem: 14438M
[11/18 16:04:46 d2.utils.events]:  eta: 3:22:39  iter: 3839  total_loss: 0.1768  loss_cls: 0.03433  loss_box_reg: 0.1153  loss_rpn_cls: 0.004226  loss_rpn_loc: 0.01267  contrastive_loss: 0.008442  time: 0.7582  data_time: 0.0289  lr: 0.01  max_mem: 14438M
[11/18 16:05:02 d2.utils.events]:  eta: 3:22:18  iter: 3859  total_loss: 0.1669  loss_cls: 0.034  loss_box_reg: 0.112  loss_rpn_cls: 0.003451  loss_rpn_loc: 0.01396  contrastive_loss: 0.008386  time: 0.7583  data_time: 0.0324  lr: 0.01  max_mem: 14438M
[11/18 16:05:17 d2.utils.events]:  eta: 3:22:09  iter: 3879  total_loss: 0.1512  loss_cls: 0.03026  loss_box_reg: 0.1003  loss_rpn_cls: 0.003249  loss_rpn_loc: 0.01153  contrastive_loss: 0.008155  time: 0.7584  data_time: 0.0295  lr: 0.01  max_mem: 14438M
[11/18 16:05:33 d2.utils.events]:  eta: 3:21:48  iter: 3899  total_loss: 0.1482  loss_cls: 0.02964  loss_box_reg: 0.09702  loss_rpn_cls: 0.00274  loss_rpn_loc: 0.0103  contrastive_loss: 0.01023  time: 0.7584  data_time: 0.0284  lr: 0.01  max_mem: 14438M
[11/18 16:05:48 d2.utils.events]:  eta: 3:21:34  iter: 3919  total_loss: 0.2006  loss_cls: 0.04055  loss_box_reg: 0.1286  loss_rpn_cls: 0.004132  loss_rpn_loc: 0.01563  contrastive_loss: 0.01013  time: 0.7585  data_time: 0.0233  lr: 0.01  max_mem: 14438M
[11/18 16:06:03 d2.utils.events]:  eta: 3:21:06  iter: 3939  total_loss: 0.1901  loss_cls: 0.03653  loss_box_reg: 0.1254  loss_rpn_cls: 0.003823  loss_rpn_loc: 0.01656  contrastive_loss: 0.008195  time: 0.7583  data_time: 0.0250  lr: 0.01  max_mem: 14438M
[11/18 16:06:18 d2.utils.events]:  eta: 3:20:43  iter: 3959  total_loss: 0.1754  loss_cls: 0.03431  loss_box_reg: 0.1219  loss_rpn_cls: 0.003851  loss_rpn_loc: 0.01365  contrastive_loss: 0.006267  time: 0.7583  data_time: 0.0238  lr: 0.01  max_mem: 14438M
[11/18 16:06:32 d2.utils.events]:  eta: 3:20:34  iter: 3979  total_loss: 0.1821  loss_cls: 0.03944  loss_box_reg: 0.1197  loss_rpn_cls: 0.004171  loss_rpn_loc: 0.01459  contrastive_loss: 0.007953  time: 0.7582  data_time: 0.0285  lr: 0.01  max_mem: 14438M
[11/18 16:06:48 d2.utils.events]:  eta: 3:20:33  iter: 3999  total_loss: 0.1587  loss_cls: 0.03215  loss_box_reg: 0.104  loss_rpn_cls: 0.003414  loss_rpn_loc: 0.01343  contrastive_loss: 0.00791  time: 0.7582  data_time: 0.0304  lr: 0.01  max_mem: 14438M
[11/18 16:07:04 d2.utils.events]:  eta: 3:20:19  iter: 4019  total_loss: 0.2286  loss_cls: 0.03606  loss_box_reg: 0.1257  loss_rpn_cls: 0.003425  loss_rpn_loc: 0.01326  contrastive_loss: 0.04159  time: 0.7585  data_time: 0.0285  lr: 0.01  max_mem: 14438M
[11/18 16:07:19 d2.utils.events]:  eta: 3:20:02  iter: 4039  total_loss: 0.1936  loss_cls: 0.0337  loss_box_reg: 0.1157  loss_rpn_cls: 0.003281  loss_rpn_loc: 0.01509  contrastive_loss: 0.02298  time: 0.7584  data_time: 0.0246  lr: 0.01  max_mem: 14438M
[11/18 16:07:34 d2.utils.events]:  eta: 3:19:50  iter: 4059  total_loss: 0.1827  loss_cls: 0.03428  loss_box_reg: 0.1207  loss_rpn_cls: 0.004864  loss_rpn_loc: 0.0157  contrastive_loss: 0.01987  time: 0.7585  data_time: 0.0295  lr: 0.01  max_mem: 14438M
[11/18 16:07:50 d2.utils.events]:  eta: 3:19:37  iter: 4079  total_loss: 0.173  loss_cls: 0.03167  loss_box_reg: 0.104  loss_rpn_cls: 0.003126  loss_rpn_loc: 0.01412  contrastive_loss: 0.01662  time: 0.7586  data_time: 0.0306  lr: 0.01  max_mem: 14438M
[11/18 16:08:05 d2.utils.events]:  eta: 3:19:22  iter: 4099  total_loss: 0.2026  loss_cls: 0.03669  loss_box_reg: 0.1297  loss_rpn_cls: 0.003408  loss_rpn_loc: 0.01534  contrastive_loss: 0.01593  time: 0.7587  data_time: 0.0314  lr: 0.01  max_mem: 14438M
[11/18 16:08:21 d2.utils.events]:  eta: 3:19:09  iter: 4119  total_loss: 0.1865  loss_cls: 0.03368  loss_box_reg: 0.1181  loss_rpn_cls: 0.00364  loss_rpn_loc: 0.01427  contrastive_loss: 0.01324  time: 0.7587  data_time: 0.0287  lr: 0.01  max_mem: 14438M
[11/18 16:08:36 d2.utils.events]:  eta: 3:18:55  iter: 4139  total_loss: 0.1929  loss_cls: 0.03489  loss_box_reg: 0.1234  loss_rpn_cls: 0.004002  loss_rpn_loc: 0.01456  contrastive_loss: 0.01236  time: 0.7587  data_time: 0.0271  lr: 0.01  max_mem: 14438M
[11/18 16:08:50 d2.utils.events]:  eta: 3:18:37  iter: 4159  total_loss: 0.1615  loss_cls: 0.02943  loss_box_reg: 0.108  loss_rpn_cls: 0.002669  loss_rpn_loc: 0.01065  contrastive_loss: 0.01213  time: 0.7585  data_time: 0.0251  lr: 0.01  max_mem: 14438M
[11/18 16:09:06 d2.utils.events]:  eta: 3:18:23  iter: 4179  total_loss: 0.1753  loss_cls: 0.03281  loss_box_reg: 0.1105  loss_rpn_cls: 0.003048  loss_rpn_loc: 0.01328  contrastive_loss: 0.01072  time: 0.7587  data_time: 0.0249  lr: 0.01  max_mem: 14438M
[11/18 16:09:21 d2.utils.events]:  eta: 3:18:10  iter: 4199  total_loss: 0.1747  loss_cls: 0.03243  loss_box_reg: 0.1157  loss_rpn_cls: 0.002544  loss_rpn_loc: 0.0122  contrastive_loss: 0.01185  time: 0.7586  data_time: 0.0272  lr: 0.01  max_mem: 14438M
[11/18 16:09:36 d2.utils.events]:  eta: 3:17:55  iter: 4219  total_loss: 0.1654  loss_cls: 0.03102  loss_box_reg: 0.1098  loss_rpn_cls: 0.003524  loss_rpn_loc: 0.01254  contrastive_loss: 0.01375  time: 0.7586  data_time: 0.0274  lr: 0.01  max_mem: 14438M
[11/18 16:09:51 d2.utils.events]:  eta: 3:17:41  iter: 4239  total_loss: 0.1855  loss_cls: 0.03529  loss_box_reg: 0.1247  loss_rpn_cls: 0.003271  loss_rpn_loc: 0.01347  contrastive_loss: 0.01098  time: 0.7584  data_time: 0.0247  lr: 0.01  max_mem: 14438M
[11/18 16:10:05 d2.utils.events]:  eta: 3:17:26  iter: 4259  total_loss: 0.189  loss_cls: 0.03594  loss_box_reg: 0.1262  loss_rpn_cls: 0.003916  loss_rpn_loc: 0.01389  contrastive_loss: 0.01108  time: 0.7584  data_time: 0.0251  lr: 0.01  max_mem: 14438M
[11/18 16:10:21 d2.utils.events]:  eta: 3:17:11  iter: 4279  total_loss: 0.1784  loss_cls: 0.03327  loss_box_reg: 0.1216  loss_rpn_cls: 0.002818  loss_rpn_loc: 0.01142  contrastive_loss: 0.008408  time: 0.7584  data_time: 0.0254  lr: 0.01  max_mem: 14438M
